event_datetime,user_id,platform,country
2024-03-01 08:56:47,5feceb66-ffc8-6f38-d952-786c6d696c79,ios,US
2024-03-01 03:02:55,6b86b273-ff34-fce1-9d6b-804eff5a3f57,ios,US
2024-03-01 20:25:53,d4735e3a-265e-16ee-e03f-59718b9b5d03,ios,US
2024-03-01 02:07:01,4e074085-62be-db8b-60ce-05c1decfe3ad,ios,US
2024-03-01 21:13:35,4b227777-d4dd-1fc6-1c6f-884f48641d02,ios,US
2024-03-01 20:15:03,ef2d127d-e37b-942b-aad0-6145e54b0c61,ios,US
2024-03-01 12:21:57,e7f6c011-776e-8db7-cd33-0b54174fd76f,ios,US
2024-03-01 17:05:48,7902699b-e42c-8a8e-46fb-bb4501726517,ios,US
2024-03-01 04:49:01,2c624232-cdd2-2177-1294-dfbb310aca00,ios,US
2024-03-01 18:36:22,19581e27-de7c-ed00-ff1c-e50b2047e7a5,ios,US
2024-03-01 07:04:21,4a44dc15-3642-04a8-0fe8-0e9039455cc1,ios,US
2024-03-01 20:34:30,4fc82b26-aecb-47d2-868c-4efbe3581732,ios,US
2024-03-01 09:07:52,6b51d431-df5d-7f14-1cbe-ceccf79edf3d,ios,US
2024-03-01 04:58:03,3fdba35f-04dc-8c46-2986-c992bcf87554,ios,US
2024-03-01 06:54:20,8527a891-e224-1369-50ff-32ca212b45bc,ios,US
2024-03-01 17:44:59,e629fa65-98d7-3276-8f7c-726b4b621285,ios,US
2024-03-01 02:55:16,b17ef6d1-9c7a-5b1e-e83b-907c595526dc,ios,US
2024-03-01 10:11:08,4523540f-1504-cd17-100c-4835e85b7eef,ios,US
2024-03-01 15:54:25,4ec9599f-c203-d176-a301-536c2e091a19,ios,US
2024-03-01 06:55:11,9400f1b2-1cb5-27d7-fa3d-3eabba93557a,ios,US
2024-03-01 05:11:13,f5ca38f7-48a1-d6ea-f726-b8a42fb575c3,ios,US
2024-03-01 06:31:44,6f4b6612-125f-b3a0-daec-d2799dfd6c9c,ios,US
2024-03-01 21:21:17,785f3ec7-eb32-f30b-90cd-0fcf3657d388,ios,US
2024-03-01 20:41:09,535fa30d-7e25-dd8a-49f1-536779734ec8,ios,US
2024-03-01 07:36:33,c2356069-e9d1-e79c-a924-378153cfbbfb,ios,US
2024-03-01 20:23:44,b7a56873-cd77-1f2c-446d-369b649430b6,ios,US
2024-03-01 19:50:20,5f9c4ab0-8cac-7457-e911-1a30e4664920,ios,US
2024-03-01 19:11:24,670671cd-9740-4156-226e-507973f2ab83,ios,US
2024-03-01 09:38:46,59e19706-d51d-39f6-6711-c2653cd7eb12,ios,US
2024-03-01 14:21:05,35135aaa-6cc2-3891-b40c-b3f378c53a17,ios,US
2024-03-01 12:34:00,624b60c5-8c9d-8bfb-6ff1-886c2fd605d2,ios,US
2024-03-01 21:13:57,eb1e33e8-a81b-697b-7585-5af6bfcdbcbf,ios,US
2024-03-01 13:46:50,e29c9c18-0c62-79b0-b02a-bd6a1801c7c0,ios,US
2024-03-01 22:21:47,c6f3ac57-944a-5314-90cd-39902d0f7777,ios,US
2024-03-01 18:30:56,86e50149-6586-6131-2a9e-0b35558d84f6,ios,US
2024-03-01 05:47:49,9f14025a-f006-5b30-e47e-23ebb3b491d3,ios,US
2024-03-01 17:35:19,76a50887-d8f1-c2e9-3017-55428990ad81,ios,US
2024-03-01 11:25:23,7a61b537-01be-fdae-0eee-ffaecc73f14e,ios,US
2024-03-01 06:06:59,aea92132-c4cb-eb26-3e6a-c2bf6c183b5d,ios,US
2024-03-01 08:35:13,0b918943-df09-62bc-7a18-24c0555a3893,ios,US
2024-03-01 19:12:01,d59eced1-ded0-7f84-c145-592f65bdf854,ios,US
2024-03-01 17:35:18,3d914f93-48c9-cc0f-f8a7-9716700b9fcd,ios,US
2024-03-01 22:30:47,73475cb4-0a56-8e8d-a8a0-45ced110137e,ios,US
2024-03-01 17:42:17,44cb730c-4204-80a0-477b-505ae68af508,ios,US
2024-03-01 01:49:32,71ee45a3-c0db-9a98-65f7-313dd3372cf6,ios,US
2024-03-01 17:55:39,811786ad-1ae7-4adf-dd20-dd0372abaaeb,ios,US
2024-03-01 02:32:02,25fc0e70-96fc-6537-1820-2dc30b0c580b,ios,US
2024-03-01 01:55:20,31489056-e091-6d59-fe3a-dd79e63f095a,ios,US
2024-03-01 07:49:09,98010bd9-270f-9b10-0b62-14a21754fd33,ios,US
2024-03-01 11:58:52,0e17daca-5f3e-175f-448b-acace3bc0da4,ios,US
2024-03-01 12:39:50,1a656259-0ef1-9d10-45d0-6c4055742d38,ios,US
2024-03-01 04:29:40,031b4af5-197e-c30a-926f-48cf40e11a7d,ios,US
2024-03-01 17:02:51,41cfc0d1-f2d1-27b0-4555-b7246d84019b,ios,US
2024-03-01 18:23:09,2858dcd1-057d-3eae-7f7d-5f782167e24b,ios,US
2024-03-01 22:11:58,2fca346d-b656-1871-02ce-806ac732e06a,ios,US
2024-03-01 00:20:12,02d20bbd-7e39-4ad5-999a-4cebabac9619,ios,US
2024-03-01 23:13:09,7688b6ef-5255-5962-d008-fff894223582,ios,US
2024-03-01 13:42:01,c837649c-ce43-f272-9138-e72cc3152070,ios,US
2024-03-01 03:19:09,6208ef0f-7750-c111-548c-f90b6ea1d0d0,ios,US
2024-03-01 18:07:22,3e1e967e-9b79-3e90-8f8e-ae83c74dba9b,ios,US
2024-03-01 20:19:43,39fa9ec1-90ee-e7b6-f4df-f1100d6343e1,ios,US
2024-03-01 05:24:02,d029fa3a-95e1-74a1-9934-857f535eb942,ios,US
2024-03-01 17:22:12,81b8a03f-97e8-787c-53fe-1a86bda042b6,ios,US
2024-03-01 23:56:39,da4ea2a5-506f-2693-eae1-90d9360a1f31,ios,US
2024-03-01 14:55:22,a68b412c-4282-555f-1554-6cf6e1fc4289,ios,US
2024-03-01 14:10:47,108c995b-953c-8a35-5611-03e2014cf828,ios,US
2024-03-01 02:56:02,3ada92f2-8b4c-eda3-8562-ebf047c6ff05,ios,US
2024-03-01 16:41:54,49d180ec-f561-3281-9571-bf39d9b7b342,ios,US
2024-03-01 04:10:20,a21855da-08cb-102d-1d21-7c53dc5824a3,ios,US
2024-03-01 02:05:37,c75cb66a-e28d-8ebc-6ede-d002c28a8ba0,ios,US
2024-03-01 19:19:41,ff5a1ae0-12af-a5d4-c889-c50ad427aaf5,ios,US
2024-03-01 13:40:24,7f2253d7-e228-b22a-08bd-a1f09c516f6f,ios,US
2024-03-01 00:57:51,87226162-0421-7edd-b39e-7df969e0698a,ios,US
2024-03-01 16:26:18,96061e92-f58e-4bdc-dee7-3df36183fe3a,ios,US
2024-03-01 02:03:09,eb624dbe-56eb-6620-ae62-080c10a273ca,ios,US
2024-03-01 04:31:50,f369cb89-fc62-7e66-8987-007d121ed1ea,ios,US
2024-03-01 19:19:43,f74efabe-f12e-a619-e30b-79bddef89cff,ios,US
2024-03-01 05:28:53,a88a7902-cb4e-f697-ba0b-6759c50e8c10,ios,US
2024-03-01 06:13:29,349c4120-1b62-db85-1192-665c504b350f,ios,US
2024-03-01 22:54:50,98a3ab7c-340e-8a03-3e7b-37b6ef942875,ios,US
2024-03-01 09:13:57,48449a14-a4ff-7d79-bb7a-1b6f3d488eba,ios,US
2024-03-01 12:52:00,5316ca1c-5ddc-a8e6-cecc-fce58f3b8540,ios,US
2024-03-01 05:30:30,a46e3763-2fa6-ca51-a13f-e39a567b3c23,ios,US
2024-03-01 09:00:42,bbb965ab-0c80-d653-8cf2-184babad2a56,ios,US
2024-03-01 19:26:30,44c8031c-b036-a735-0d8b-9b8603af662a,ios,US
